state,date,PUAPEUC,,,,,
MO,2020-07-11,5263,,,,,
MT,2020-07-11,2315,,,,,
NE,2020-07-11,1628,,,,,
NV,2020-07-11,26999,,,,,
NH,2020-07-11,15729,,,,,
NJ,2020-07-11,19530,,,,,
NM,2020-07-11,2864,,,,,
NY,2020-07-11,51576,,,,,
NC,2020-07-11,20563,,,,,
ND,2020-07-11,1231,,,,,
OH,2020-07-11,92636,,,,,
OK,2020-07-11,1911,,,,,
OR,2020-07-11,5648,,,,,
PA,2020-07-11,209036,,,,,
PR,2020-07-11,26176,,,,,
RI,2020-07-11,6334,,,,,
SC,2020-07-11,11570,,,,,
SD,2020-07-11,138,,,,,
TN,2020-07-11,12078,,,,,
TX,2020-07-11,29665,,,,,
UT,2020-07-11,1487,,,,,
VT,2020-07-11,522,,,,,
VI,2020-07-11,0,,,,,
