time,ym,indmc,uib,numD,numDfull,numDpart,numE,numEfull,numEpart,matched,matchedfull,matchedpart,EXIT,EXITfull,EXITpart,hour,wage_tot,prod,E9,hourfull,hourpart,wage_totfull,wage_totpart,hire,hirefull,hirepart,left,leftfull,leftpart
2018. 08,703,30,10189,355156,348826,6046,3813,3682,132,9171,8096,1075,6854,5745,1109,171.7,5082920,105.5,15533,172.2,149.4,5120895,3115242,8789,7731,1057,5555,5267,287
2018. 09,704,30,9351,354759,348432,6043,4295,4163,132,6839,6079,760,7237,6460,777,151.8,4983973,97.2,15567,152,139.4,5008450,3594359,6607,5848,758,4848,4527,321
2018. 10,705,30,8529,355421,349615,5521,3999,3923,76,8001,7217,784,7339,6323,1016,185.2,4688314,97,15687,185.4,173.6,4713865,3260172,7779,7018,761,4883,4685,199
2018. 11,706,30,7883,355685,349567,5750,3080,3014,66,7694,6513,1181,7514,6554,960,190.1,3723157,97.3,15679,190.3,176.6,3747128,2399318,7336,6158,1178,5642,5514,128
2018. 12,707,30,7123,358266,351114,6867,2478,2470,8,8925,7081,1844,6261,5458,803,176.2,7198549,94.7,15761,176.6,156.6,7252238,4454508,8716,6874,1841,4230,4164,66
2019. 01,708,30,7724,354454,347731,6453,3087,3073,14,7295,6678,617,11091,10114,977,189.4,4527153,97.7,15558,189.7,172,4561198,2835399,6514,5926,588,4952,4787,166
2019. 02,709,30,7732,354225,348054,5902,3045,3043,3,7156,6427,729,7386,6036,1350,147.7,5058311,90.5,15330,148,130.4,5073184,4227247,6316,5632,684,4953,4779,174
2019. 03,710,30,7853,354095,347995,5829,2855,2780,75,7053,6312,741,7183,6366,817,180.2,4255061,92.9,15028,180.4,170.1,4284429,2627643,6006,5270,737,4842,4684,158
2019. 04,711,30,8109,354719,348483,5966,3504,3502,3,7614,6430,1184,6990,5969,1021,191.9,4664392,95.5,14981,192.2,173,4683426,3555050,7057,5877,1180,5199,4946,253
2019. 05,712,30,8136,354355,347911,6154,2857,2854,3,6738,5932,806,7122,6485,636,187.5,4009544,95,14842,188,160.9,4039150,2325497,6545,5744,801,5045,4915,130
2019. 06,713,30,8055,354954,348384,6281,2591,2528,63,6374,5547,827,5774,5137,637,172.2,4539329,93.7,14741,172.5,156.6,4561335,3376301,5982,5173,809,4250,4054,196
2019. 07,714,30,8459,355237,348839,6109,2406,2405,1,6402,5568,833,6119,5114,1005,194.7,4607419,95.9,14728,195,182.2,4639648,2771173,5917,5127,790,4304,4056,248
2019. 08,715,30,8291,354676,348655,5754,2517,2516,1,5299,4489,810,5838,5042,795,157.1,5099336,92.8,14676,157.4,133.3,5118325,3887754,4743,3944,799,4089,3870,219
2019. 09,716,30,8003,355563,349521,5773,2853,2851,1,6711,6106,606,5827,5154,673,160.7,5537379,94.5,14633,160.9,144.9,5536386,5604780,5905,5344,561,3913,3765,148
2019. 10,717,30,6455,355719,349643,5807,2700,2672,28,6511,5829,683,6355,5708,647,185,5471540,91.2,14594,185,178,5492287,3923825,6033,5366,667,4864,4739,125
2019. 11,718,30,6153,355598,349536,5793,2215,2215,0,6144,5560,584,6266,5672,594,183.1,4074436,86.5,14421,183.3,170.8,4096377,2527201,5559,4993,566,4191,4145,46
2019. 12,719,30,6127,355306,348865,6172,2398,2390,8,5493,4463,1030,5784,5142,642,181.3,6721531,90.7,14565,181.4,177.3,6744195,5243752,5082,4077,1005,3610,3512,98
2020. 01,720,30,7891,352627,345351,7130,2037,1985,52,6720,5023,1697,9276,8488,788,163.1,5917122,90.5,14507,163.8,132.5,5963937,3709388,6068,4386,1682,3211,3112,99
2020. 02,721,30,9554,351115,344630,6340,2097,2075,22,5242,4497,745,6753,5372,1381,159,4084398,64.1,14081,159.7,127.3,4117282,2447558,3853,3121,732,4283,4173,110
2020. 03,722,30,10402,351278,344675,6483,1531,1529,2,6937,5932,1005,6748,5770,979,189.5,4486931,93,13516,189.9,168.9,4517841,2874879,6229,5227,1002,4721,4445,275
2020. 04,723,30,10677,347669,340638,6911,1386,1303,83,5846,4716,1129,9454,8950,504,165.6,4195008,82.6,13111,165.8,153.5,4223726,2792991,4674,3564,1109,3258,3160,98
2020. 05,724,30,11394,348013,341000,6894,1127,1127,0,7303,6642,662,6958,6335,623,143,3911222,62.5,12679,143.1,140.5,3931735,2854475,2513,1890,622,2841,2756,85
2020. 06,725,30,12266,345659,338479,7056,974,974,0,7069,6299,770,9429,8752,676,168.6,3991813,76.5,12223,168.8,157.8,4017219,2741369,3742,2978,764,3108,2979,129
2020. 07,726,30,13017,345551,338127,7301,1639,1639,0,10387,8948,1439,10494,9265,1229,185.2,4753980,88.1,11939,185.6,162.5,4782845,3326533,5646,4212,1435,3965,3842,123
2020. 08,727,30,12585,344834,337456,7243,2355,2344,11,4859,3482,1377,5588,4153,1435,147,4296483,89.5,11834,147.7,115.1,4332589,2494215,4400,3049,1352,3180,3049,130
2020. 09,728,30,12639,346350,338456,7759,2141,2141,0,6697,4990,1707,5182,4018,1164,181.6,5665024,95,11732,182,160,5689030,4577703,5898,4196,1702,3144,2978,166
2020. 10,729,30,11748,347214,339132,7947,1637,1623,14,7020,5748,1271,6155,5078,1077,170.9,4470404,96.5,11650,171.4,150.3,4504757,2908570,6193,4965,1228,3591,3535,57
2020. 11,730,30,9615,349173,340777,8261,2299,2292,7,7449,5823,1626,5490,4145,1346,182,4245366,90.3,11528,182.7,150.6,4278010,2747154,6810,5208,1602,3327,3184,143
2020. 12,731,30,8688,348946,340166,8645,2691,2677,14,6382,4638,1743,6609,5382,1228,185.3,7002809,83.1,11416,186.2,144,7070599,3990746,6020,4291,1729,3738,3623,115
